& Data from the 'Flux Calibrators' Project, October 2014 and January 2016.
& Flux data at 73.8 MHz from 'legacy' VLA data of March and October 1998, recalibrated June 2016.
& Fluxes < 2 GHz based on Cygnus A.  Flux > 2 GHz based on P&B via 3C295 and 3C286.
& Values for 3C123, 3C196, 3C286, and 3C295 at 48 GHz taken from P&B.  
& Data reduced May/June 2016.  3C380 and 3C138 are notably variable between the epochs above 10 GHz (3C380) and 6 GHz (3C138).
& Values listed for these are from January 2016 data.  
Freq	J0133   For_A 3C48  3C123  J0444   3C138 PicA   3C144 3C147  3C196  3C218  3C274 3C286  3C295  3C348  3C353 3C380  3C405  3C444  3C461  %Err
.0738    NaN     NaN   72.8   409    NaN    NaN     NaN  1746   57.4  131     601   2016   29.9  125      NaN   422  127    17086   NaN   18478  0.5
.232     25.2   416    53.5   189    30.7   18.1   243   1241   61.6   60.6   216    870   27.8   72.8   281    190   52.9   7944   52.6   6960  1.6
.247     19.5   433    52.1   180    30.1   18.2   234   1215   60.9   57.9   209    822   28.2   70.5   263    181   52.4   7574   50.7   6615	 1.0
.275     24.2   395    47.8   164    27.2   17.6   216   1170   57.7   52.6   185    769   27.2   65.9   238    171   47.2   6969   45.5   6035  0.3
.296     19.7   366    46.4   157    25.8   17.0   207   1159   56.4   50.3   177    729   27.0   64.1   222    164   45.4   6576   42.5   5715	 0.2
.312     22.5   346    45.0   150    24.8   16.7   197   1125   55.0   48.3   169    702   26.2   61.9   211    158   43.3   6305   39.7   5575	 0.7
.328     21.6   345    43.7   145    23.7   16.5   190   1130   53.7   46.5   161    672   26.3   60.4   201    152   41.7   6056   38.4   5270	 0.2
.344     19.6   335    42.7   141    22.8   16.2   186   1126   53.0   45.1   155    647   26.2   59.2   193    149   40.4   5826   37.5   5112	 0.3
.357     19.6   318    41.5   137    22.2   15.8   180   1105   51.7   43.6   150    628   25.8   57.7   185    144   39.0   5651   35.0   4951	 0.3
.382     18.1   313    40.1   130    21.1   15.5   171   1091   50.1   41.7   141    596   25.3   55.9   173    138   37.3   5342   33.4   4696	 0.4
.392     18.9   309    39.4   128    20.7   15.5   169   1097   49.5   40.8   138    589   25.3   55.0   169    136   36.2   5228   32.2   4594	 0.5
.403     19.6   309    38.8   126    20.6   15.3   169   1091   49.1   40.3   136    583   25.0   54.2   166    133   35.5   5108   31.2   4484	 0.5
.422     19.1   294    37.5   121    19.4   14.9   159   1066   47.5   38.3   129    556   24.5   52.4   158    129   34.1   4912   29.6   4329	 0.4
.437     17.7   283    36.4   117    18.6   14.6   154   1058   46.2   37.0   125    538   24.2   51.1   151    125   33.0   4768   28.7   4201	 0.7
.457     17.8   274    35.8   114    18.6   14.7   157   1057   45.5   36.1   121    525   24.0   50.2   147    122   32.1   4589   27.7   4089	 0.6
.471     17.9   275    35.0   112    18.0   14.2   152   1051   44.7   35.1   118    520   23.6   49.1   142    121   31.0   4470   26.5   3985	 0.6
1.040    10.3    NaN   20.32   60.55  8.96   9.98   83.1  880   27.36  18.55   57.4  270   17.06  28.44   63.95  70.4 16.49  2144   12.20  2205	 0.5
1.488     8.18   NaN   15.46   45.73  6.50   8.26   64.1  817   21.20  13.62   41.6  202   14.46  21.33   45.36  54.9 12.56  1490    8.50  1695	 0.5
1.808     7.15   NaN   13.27   39.16  5.43   7.43   55.7  785   18.35  11.49   34.9  172   13.17  18.04   36.54  47.8 10.92  1212    6.99  1479	 0.5
2.052     6.58   NaN   11.99   35.5  NaN     6.91   50.5  752   16.67  10.23   30.8  154   12.43  16.13   31.91  43.2  9.91  1044    6.11  1304	 0.4
