Table 9
Adopted Spectral Flux Densities of Steady Sources


Freq., 3C123, , 3C196, , 3C286, , 3C295, , N_obs
(GHz), S(Jy), sigma(Jy), S(Jy), sigma(Jy), S(Jy), sigma(Jy), S(Jy), sigma(Jy), N_obs
0.3275, 145.0, 4.3, 46.8, 1.4, 26.1, 0.8, 60.8, 1.8, 14
1.015, 66.2, 4.3, 20.1, 4.8, 18.4, 4.3, 30.8, 7.3, 1
1.275, 46.6, 3.2, 13.3, 2.0, 13.8, 2.0, 21.5, 3.0, 1
1.465, 47.8, 0.5, 14.1, 0.2, 15.0, 0.2, 22.2, 0.5, 4
1.865, 38.7, 0.6, 11.3, 0.2, 13.2, 0.2, 17.9, 0.3, 2
2.565, 28.9, 0.3, 8.16, 0.1, 10.9, 0.2, 12.8, 0.2, 2
3.565, 21.4, 0.8, 6.22, 0.2, 9.5, 0.1, 9.62, 0.2, 3
4.535, 16.9, 0.2, 4.55, 0.06, 7.68, 0.1, 6.96, 0.09, 7
4.835, 16.0, 0.2, 4.22, 0.1, 7.33, 0.2, 6.45, 0.15, 1
4.885, 15.88, 0.1, 4.189, 0.025, 7.297, 0.046, 6.37, 0.04, 11
6.135, 12.81, 0.15, 3.318, 0.05, 6.49, 0.15, 4.99, 0.05, 2
6.885, 11.20, 0.14, 2.85, 0.05, 5.75, 0.05, 4.21, 0.05, 3
7.465, 11.01, 0.2, 2.79, 0.05, 5.70, 0.10, 4.13, 0.07, 1
8.435, 9.20, 0.04, 2.294, 0.010, 5.059, 0.021, 3.319, 0.014, 11
8.485, 9.10, 0.15, 2.275, 0.03, 5.045, 0.07, 3.295, 0.05, 1
8.735, 8.86, 0.05, 2.202, 0.011, 4.930, 0.024, 3.173, 0.016, 10
11.06, 6.73, 0.15, 1.64, 0.03, 4.053, 0.08, 2.204, 0.05, 1
12.890, , , 1.388, 0.025, 3.662, 0.070, 1.904, 0.04, 1
14.635, 5.34, 0.05, 1.255, 0.020, 3.509, 0.040, 1.694, 0.04, 1
14.715, 5.02, 0.05, 1.206, 0.020, 3.375, 0.040, 1.630, 0.03, 1
14.915, 5.132, 0.025, 1.207, 0.004, 3.399, 0.016, 1.626, 0.008, 7
14.965, 5.092, 0.028, 1.198, 0.007, 3.387, 0.015, 1.617, 0.007, 11
17.422, 4.272, 0.07, 0.988, 0.02, 2.980, 0.04, 1.311, 0.025, 1
18.230, , , 0.932, 0.020, 2.860, 0.045, 1.222, 0.05, 1
18.485, 4.090, 0.055, 0.947, 0.015, 2.925, 0.045, 1.256, 0.020, 1
18.585, 3.934, 0.055, 0.926, 0.015, 2.880, 0.04, 1.221, 0.015, 1
20.485, 3.586, 0.055, 0.820, 0.010, 2.731, 0.05, 1.089, 0.015, 1
22.460, 3.297, 0.022, 0.745, 0.003, 2.505, 0.016, 0.952, 0.005, 13
22.835, 3.334, 0.06, 0.760, 0.010, 2.562, 0.05, 0.967, 0.015, 1
24.450, 2.867, 0.03, 0.657, 0.017, 2.387, 0.03, 0.861, 0.020, 2
25.836, 2.697, 0.06, 0.620, 0.017, 2.181, 0.06, 0.770, 0.02, 1
26.485, 2.716, 0.05, 0.607, 0.017, 2.247, 0.05, 0.779, 0.020, 1
28.450, 2.436, 0.06, 0.568, 0.015, 2.079, 0.05, 0.689, 0.020, 2
29.735, 2.453, 0.05, 0.529, 0.015, 2.011, 0.05, 0.653, 0.020, 1
36.435, 1.841, 0.17, 0.408, 0.005, 1.684, 0.02, 0.484, 0.015, 3
43.065, , , 0.367, 0.015, 1.658, 0.08, 0.442, 0.020, 1
43.340, 1.421, 0.055, 0.342, 0.005, 1.543, 0.024, 0.398, 0.006, 13
48.350, 1.269, 0.12, 0.289, 0.005, 1.449, 0.04, 0.359, 0.013, 4
48.565, , , 0.272, 0.015, 1.465, 0.1, 0.325, 0.025, 1
Notes. The derived flux density values, based on the Mars emission model for frequencies between 1 and 50 GHz. The quoted errors are derived from the dispersion of the values over the various sessions. The values for 3C123, 3C286, and 3C295 at 327.5 MHz are derived from their ratios to 3C196, whose flux density is taken to be 46.8 Jy (Scaife & Heald 2012).
